Tick 2(0), Delay 14714 ms, IGT 00:00.000, RTA 00:-14.-714-00:00.000, due world load
Tick 3(0), Delay 1668 ms, IGT 00:00.000, RTA 00:-1.-668-00:00.000, due world load
Tick 5(0), Delay 7 ms, IGT 00:00.000, RTA 00:00.-07-00:00.000, due world load
Tick 6(0), Delay 10 ms, IGT 00:00.000, RTA 00:00.-10-00:00.000, due world load
Tick 7(0), Delay 8 ms, IGT 00:00.000, RTA 00:00.-08-00:00.000, due world load
Tick 8(0), Delay 12 ms, IGT 00:00.000, RTA 00:00.-12-00:00.000, due world load
Tick 9(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 10(0), Delay 13 ms, IGT 00:00.000, RTA 00:00.-13-00:00.000, due world load
Tick 11(0), Delay 8 ms, IGT 00:00.000, RTA 00:00.-08-00:00.000, due world load
Tick 12(0), Delay 6 ms, IGT 00:00.000, RTA 00:00.-06-00:00.000, due world load
Tick 13(0), Delay 195 ms, IGT 00:00.000, RTA 00:00.-195-00:00.000, due world load
Tick 14(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 15(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 16(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 17(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 18(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 19(0), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 20(0), Delay 90 ms, IGT 00:00.000, RTA 00:00.-90-00:00.000, due world load
Tick 21(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 22(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 23(0), Delay 65 ms, IGT 00:00.000, RTA 00:00.-65-00:00.000, due world load
Tick 26(0), Delay 69 ms, IGT 00:00.000, RTA 00:00.-69-00:00.000, due world load
Tick 27(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 29(0), Delay 58 ms, IGT 00:00.000, RTA 00:00.-58-00:00.000, due world load
Tick 31(0), Delay 79 ms, IGT 00:00.000, RTA 00:00.-79-00:00.000, due world load
Tick 32(0), Delay 203 ms, IGT 00:00.000, RTA 00:00.-203-00:00.000, due world load
Tick 33(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 34(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 35(0), Delay 3 ms, IGT 00:00.000, RTA 00:00.-03-00:00.000, due world load
Tick 37(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 38(0), Delay 38 ms, IGT 00:00.000, RTA 00:00.-38-00:00.000, due world load
Tick 39(0), Delay 38 ms, IGT 00:00.000, RTA 00:00.-38-00:00.000, due world load
Tick 40(0), Delay 101 ms, IGT 00:00.000, RTA 00:00.-101-00:00.000, due world load
Tick 41(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 43(0), Delay 65 ms, IGT 00:00.000, RTA 00:00.-65-00:00.000, due world load
Tick 44(0), Delay 59 ms, IGT 00:00.000, RTA 00:00.-59-00:00.000, due world load
Tick 45(0), Delay 43 ms, IGT 00:00.000, RTA 00:00.-43-00:00.000, due world load
Tick 46(0), Delay 136 ms, IGT 00:00.000, RTA 00:00.-136-00:00.000, due world load
Tick 47(0), Delay 4 ms, IGT 00:00.000, RTA 00:00.-04-00:00.000, due world load
Tick 48(0), Delay 5 ms, IGT 00:00.000, RTA 00:00.-05-00:00.000, due world load
Tick 49(0), Delay 34 ms, IGT 00:00.000, RTA 00:00.-34-00:00.000, due world load
Tick 50(0), Delay 65 ms, IGT 00:00.000, RTA 00:00.-65-00:00.000, due world load
Tick 51(0), Delay 59 ms, IGT 00:00.000, RTA 00:00.-59-00:00.000, due world load
Tick 52(0), Delay 27 ms, IGT 00:00.000, RTA 00:00.-27-00:00.000, due world load
Tick 54(0), Delay 88 ms, IGT 00:00.000, RTA 00:00.-88-00:00.000, due world load
Tick 55(1), Delay 31 ms, IGT 00:00.009, RTA 00:00.-26-00:00.005
Tick 56(2), Delay 29 ms, IGT 00:00.059, RTA 00:00.005-00:00.034
Tick 57(3), Delay 70 ms, IGT 00:00.109, RTA 00:00.034-00:00.104
Tick 58(4), Delay 27 ms, IGT 00:00.159, RTA 00:00.104-00:00.131
Tick 59(5), Delay 155 ms, IGT 00:00.209, RTA 00:00.131-00:00.286
Tick 60(6), Delay 4 ms, IGT 00:00.259, RTA 00:00.286-00:00.290
Tick 61(7), Delay 19 ms, IGT 00:00.309, RTA 00:00.290-00:00.309
Tick 62(8), Delay 32 ms, IGT 00:00.359, RTA 00:00.309-00:00.341
Tick 65(11), Delay 43 ms, IGT 00:00.509, RTA 00:00.447-00:00.490
Tick 67(13), Delay 67 ms, IGT 00:00.609, RTA 00:00.536-00:00.603
Tick 68(14), Delay 41 ms, IGT 00:00.659, RTA 00:00.603-00:00.644
Tick 69(15), Delay 63 ms, IGT 00:00.709, RTA 00:00.644-00:00.707
Tick 70(16), Delay 575 ms, IGT 00:00.759, RTA 00:00.707-00:01.282
Tick 71(17), Delay 6 ms, IGT 00:00.809, RTA 00:01.282-00:01.288
Tick 72(18), Delay 6 ms, IGT 00:00.859, RTA 00:01.288-00:01.294
Tick 73(19), Delay 7 ms, IGT 00:00.909, RTA 00:01.294-00:01.301
Tick 74(20), Delay 5 ms, IGT 00:00.959, RTA 00:01.301-00:01.306
Tick 75(21), Delay 6 ms, IGT 00:01.009, RTA 00:01.306-00:01.312
Tick 76(22), Delay 6 ms, IGT 00:01.059, RTA 00:01.312-00:01.318
Tick 77(23), Delay 4 ms, IGT 00:01.109, RTA 00:01.318-00:01.322
Tick 78(24), Delay 3 ms, IGT 00:01.159, RTA 00:01.322-00:01.325
Tick 79(25), Delay 5 ms, IGT 00:01.209, RTA 00:01.325-00:01.330
Tick 80(26), Delay 42 ms, IGT 00:01.259, RTA 00:01.330-00:01.372
Tick 81(27), Delay 5 ms, IGT 00:01.309, RTA 00:01.372-00:01.377
Tick 82(28), Delay 25 ms, IGT 00:01.359, RTA 00:01.377-00:01.402
Tick 83(29), Delay 28 ms, IGT 00:01.409, RTA 00:01.402-00:01.430
Tick 84(30), Delay 66 ms, IGT 00:01.459, RTA 00:01.430-00:01.496
Tick 86(32), Delay 58 ms, IGT 00:01.559, RTA 00:01.545-00:01.603
Tick 87(33), Delay 28 ms, IGT 00:01.609, RTA 00:01.603-00:01.631
Tick 89(35), Delay 45 ms, IGT 00:01.709, RTA 00:01.685-00:01.730
Tick 91(37), Delay 63 ms, IGT 00:01.809, RTA 00:01.779-00:01.842
Tick 92(38), Delay 35 ms, IGT 00:01.859, RTA 00:01.842-00:01.877
Tick 93(39), Delay 62 ms, IGT 00:01.909, RTA 00:01.877-00:01.939
Tick 94(40), Delay 39 ms, IGT 00:01.959, RTA 00:01.939-00:01.978
Tick 96(42), Delay 63 ms, IGT 00:02.059, RTA 00:02.027-00:02.090
Tick 97(43), Delay 43 ms, IGT 00:02.109, RTA 00:02.090-00:02.133
Tick 98(44), Delay 55 ms, IGT 00:02.159, RTA 00:02.133-00:02.188
Tick 100(46), Delay 286 ms, IGT 00:02.259, RTA 00:02.238-00:02.524
Tick 101(47), Delay 4 ms, IGT 00:02.309, RTA 00:02.524-00:02.528
Tick 102(48), Delay 4 ms, IGT 00:02.359, RTA 00:02.528-00:02.532
Tick 103(49), Delay 4 ms, IGT 00:02.409, RTA 00:02.532-00:02.536
Tick 104(50), Delay 4 ms, IGT 00:02.459, RTA 00:02.536-00:02.540
Tick 105(51), Delay 45 ms, IGT 00:02.509, RTA 00:02.540-00:02.585
Tick 106(52), Delay 4 ms, IGT 00:02.559, RTA 00:02.585-00:02.589
Tick 108(54), Delay 41 ms, IGT 00:02.659, RTA 00:02.642-00:02.683
Tick 109(55), Delay 83 ms, IGT 00:02.709, RTA 00:02.683-00:02.766
Tick 111(57), Delay 27 ms, IGT 00:02.809, RTA 00:02.812-00:02.839
Tick 112(58), Delay 41 ms, IGT 00:02.859, RTA 00:02.839-00:02.880
Tick 113(59), Delay 62 ms, IGT 00:02.909, RTA 00:02.880-00:02.942
Tick 115(61), Delay 70 ms, IGT 00:03.009, RTA 00:02.993-00:03.063
Tick 116(62), Delay 20 ms, IGT 00:03.059, RTA 00:03.063-00:03.083
Tick 123(69), Delay 44 ms, IGT 00:03.409, RTA 00:03.388-00:03.432
